Case,Size,Bubble,Slection,Insertion,Heap,Quick,Merge,BinaryInsertion
sorted,3000,0.015,0.013,0,0.002,0,0.002,0.001
sorted,10000,0.133,0.106,0,0.006,0.001,0.004,0.002
sorted,30000,1.178,1.088,0,0.026,0.001,0.018,0.01
sorted,100000,15.069,15.668,0,0.111,0.008,0.057,0.045
sorted,300000,117.689,100.695,0.001,0.258,0.018,0.13,0.114
reversed,3000,0.015,0.012,0,0.001,0,0.002,0
reversed,10000,0.13,0.105,0.001,0.005,0.001,0.004,0.003
reversed,30000,1.17,1.061,0,0.022,0.002,0.018,0.014
reversed,100000,13.667,11.886,0,0.078,0.006,0.041,0.033
reversed,300000,117.641,103.301,0.001,0.254,0.017,0.133,0.111
NearlySorted,3000,0.014,0.011,0,0.002,0,0.002,0
NearlySorted,10000,0.129,0.107,0.001,0.006,0,0.004,0.002
NearlySorted,30000,1.162,1.037,0.001,0.021,0.001,0.013,0.009
NearlySorted,100000,13.761,13.036,0.001,0.11,0.006,0.051,0.044
NearlySorted,300000,119.961,115.203,0.003,0.616,0.039,0.225,0.159
random,3000,0.067,0.01,0.006,0.001,0.001,0.001,0.005
random,10000,0.727,0.119,0.062,0.007,0.001,0.006,0.045
random,30000,6.529,0.998,0.557,0.021,0.006,0.015,0.394
random,100000,72.738,11.16,7.591,0.105,0.041,0.097,7.072
random,300000,675.82,102.401,58.162,0.304,0.068,0.177,39.196
